name,lat,lng
Colombo,6.9344,79.8428
Kandy,7.2964,80.635
Kilinochchi,9.4004,80.3999
Trincomalee,8.5667,81.2333
Galle,6.0328,80.2156
Jaffna,9.6647,80.0167
Batticaloa,7.7167,81.7
Matara,5.95,80.5333
Anuradhapura,8.335,80.4108
Gampaha,7.0917,79.9997
Puttalam,8.033,79.826
Badulla,6.9847,81.0564
Matale,7.4686,80.6228
Vavuniya,8.75,80.4833
Kalutara,6.5869,79.9603
Mannar,8.9667,79.8833
Kurunegala,7.4833,80.3667
Nuwara Eliya,6.9667,80.7667
Kegalle,7.2531,80.3453
Hambantota,6.1244,81.1225
Monaragala,6.8726,81.3373
Ratnapura,6.6806,80.4022
Polonnaruwa,7.9403,81.0188
